First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Thomas,Steen,WPG,F,25,8,4,3,4,3,3,3,4,4,4,4,0,5,3
Luciano,Borsato,WPG,F,38,4,3,3,3,3,2,3,1,3,4,3,2,3,2
Mike,Eagles,WPG,F,36,7,3,3,2,4,2,5,4,2,2,5,1,2,3
Stu,Barnes,WPG,F,14,5,2,3,3,3,2,2,3,2,3,3,4,2,1
Darrin,Shannon,WPG,F,34,9,2,2,3,4,3,4,0,3,4,4,0,3,3
Keith,Tkachuk,WPG,F,7,9,3,2,3,3,4,3,6,2,3,4,4,2,4
Kris,King,WPG,F,17,10,3,3,2,4,2,3,6,2,2,4,3,2,4
Russ,Romaniuk,WPG,F,21,6,3,2,1,2,2,3,6,2,3,2,5,2,2
Andy,Brickley,WPG,F,23,9,2,2,2,2,1,3,2,2,0,2,0,3,0
Teemu,Selanne,WPG,F,13,6,5,6,5,3,4,3,3,4,5,5,4,4,2
Evgeny,Davydov,WPG,F,11,6,4,4,3,3,4,1,3,3,4,3,5,3,2
John,Druce,WPG,F,15,9,2,2,3,3,2,3,3,2,2,3,1,2,2
Bryan,Erickson,WPG,F,18,5,2,3,3,3,2,3,3,2,2,3,1,2,1
Tie,Domi,WPG,F,20,9,2,2,2,3,2,3,9,2,3,4,1,2,6
Phil,Housley,WPG,D,6,6,6,5,4,3,3,2,4,6,2,4,0,6,2
Teppo,Numminen,WPG,D,27,7,4,3,3,5,3,3,1,4,2,4,1,3,2
Fredrik,Olausson,WPG,D,4,9,4,3,4,3,4,1,1,4,2,3,1,4,1
Sergei,Bautin,WPG,D,3,6,3,3,2,4,3,4,4,3,1,4,2,3,3
Igor,Ulanov,WPG,D,5,9,2,2,2,4,2,3,6,2,1,4,0,2,4
Mike,Lalor,WPG,D,22,9,3,2,1,3,2,2,4,2,0,4,5,2,3
Dean,Kennedy,WPG,D,26,9,2,2,1,3,2,3,3,2,0,4,4,2,3
Randy,Carlyle,WPG,D,8,9,2,2,1,2,2,3,6,2,1,2,5,2,2
